applicant_id,campus_group,annual_income,credit_score,loan_approved_actual,loan_approved_model_prediction
APP0075,CampusB,25941,538,0,0
APP0076,CampusA,48096,543,0,0
APP0077,CampusA,56193,678,1,1
APP0078,CampusA,43221,579,1,0
APP0079,CampusA,44155,718,1,1
APP0080,CampusA,61715,735,1,1
APP0081,CampusA,30003,633,0,0
APP0082,CampusA,27029,750,1,1
APP0083,CampusA,37152,664,1,0
APP0084,CampusB,30641,717,1,0
APP0085,CampusB,61155,636,1,1
APP0086,CampusB,48716,708,1,1
APP0087,CampusA,34631,593,0,1
APP0088,CampusB,37626,687,0,0
APP0089,CampusB,79333,622,1,1
APP0090,CampusB,37679,642,0,0
APP0091,CampusB,35856,688,0,0
APP0092,CampusB,48652,660,0,0
APP0093,CampusA,52659,646,1,1
APP0094,CampusB,47660,694,1,1
APP0095,CampusA,34096,698,1,1
APP0096,CampusA,31090,567,0,0
APP0097,CampusB,52154,684,0,1
APP0098,CampusB,44350,690,0,0
APP0099,CampusA,25303,605,0,0
APP0100,CampusB,59052,673,1,1
APP0101,CampusA,54304,571,1,1
APP0102,CampusA,42109,736,1,1
APP0103,CampusB,41877,636,0,0
APP0104,CampusA,47778,645,1,1
APP0105,CampusB,36756,722,0,1
APP0106,CampusB,28820,641,0,0
APP0107,CampusB,48870,686,1,0
APP0108,CampusB,27731,587,0,0
APP0109,CampusA,49689,616,0,1
APP0110,CampusA,27706,566,0,0
APP0111,CampusA,43809,638,0,1
APP0112,CampusA,43372,712,1,1
APP0113,CampusB,66392,663,1,1
APP0114,CampusB,32227,703,1,0
APP0115,CampusB,28021,588,0,0
APP0116,CampusB,37246,597,0,0
APP0117,CampusA,31515,622,1,0
APP0118,CampusA,37923,684,1,1
APP0119,CampusB,50050,671,1,0
APP0120,CampusA,54264,649,1,1
APP0121,CampusA,64915,687,1,1
APP0122,CampusB,36160,641,0,1
APP0123,CampusA,76662,649,1,1
APP0124,CampusB,68786,728,1,1
APP0125,CampusB,42558,615,0,0
APP0126,CampusA,17503,661,0,0
APP0127,CampusB,44003,747,1,1
APP0128,CampusB,45870,656,0,0
APP0129,CampusB,17409,692,0,0
APP0130,CampusA,45886,614,1,1
APP0131,CampusA,42598,767,1,1
APP0132,CampusB,35571,515,0,0
APP0133,CampusB,52520,582,0,0
APP0134,CampusA,57064,587,1,1
APP0135,CampusA,39166,747,1,1
APP0136,CampusB,47754,671,1,1
APP0137,CampusB,37142,634,0,0
APP0138,CampusA,35561,573,0,0
APP0139,CampusB,45954,672,1,1
APP0140,CampusB,51281,657,0,0
APP0141,CampusB,38240,608,0,0
APP0142,CampusA,18436,561,0,0
APP0143,CampusA,52029,584,1,0
APP0144,CampusA,25841,663,0,0
APP0145,CampusB,46464,669,0,0
APP0146,CampusA,66348,654,1,1
APP0147,CampusA,44798,641,1,1
APP0148,CampusA,30723,544,0,0
APP0149,CampusA,27466,653,0,1
APP0150,CampusA,59046,588,1,0
APP0151,CampusA,44797,653,1,1
APP0152,CampusB,51477,678,1,1
APP0153,CampusB,56116,609,1,1
APP0154,CampusA,44412,589,0,1
APP0155,CampusA,41297,710,1,1
APP0156,CampusA,33632,671,0,1
APP0157,CampusB,15000,612,0,0
APP0158,CampusB,26784,470,0,0
APP0159,CampusB,44165,647,1,0
APP0160,CampusA,42897,688,1,1
APP0161,CampusA,49843,717,1,1
APP0162,CampusB,43480,609,0,0
APP0163,CampusB,46912,611,0,0
APP0164,CampusA,54454,623,1,0
APP0165,CampusB,34379,700,1,0
APP0166,CampusB,41554,580,0,0
APP0167,CampusB,25713,643,0,0
APP0168,CampusB,56675,594,0,1
APP0169,CampusA,45461,666,1,1
APP0170,CampusA,50878,557,0,0
APP0171,CampusA,63510,673,1,1
APP0172,CampusA,57955,620,1,1
APP0173,CampusB,44280,637,0,0
APP0174,CampusA,54452,682,1,1
APP0175,CampusB,27820,719,1,0
APP0176,CampusA,50207,548,0,0
APP0177,CampusA,46667,710,1,1
APP0178,CampusA,25581,683,1,0
APP0179,CampusA,61048,632,1,1
APP0180,CampusB,36551,734,0,0
APP0181,CampusB,53199,661,1,1
APP0182,CampusA,39961,728,1,1
APP0183,CampusB,56923,614,0,0
APP0184,CampusA,60747,598,1,1
APP0185,CampusA,35039,723,1,1
APP0186,CampusA,26635,780,0,1
APP0187,CampusA,43423,688,1,1
APP0188,CampusA,55187,703,1,1
APP0189,CampusB,40544,622,0,0
APP0190,CampusB,37638,570,0,0
APP0191,CampusA,50859,636,1,0
APP0192,CampusA,15000,740,1,0
APP0193,CampusA,37023,538,0,0
APP0194,CampusA,28394,620,0,0
APP0195,CampusA,48538,535,0,1
APP0196,CampusB,36165,656,0,0
APP0197,CampusB,31618,702,0,0
APP0198,CampusA,40754,575,1,0
APP0199,CampusB,27379,625,0,0
APP0200,CampusB,44843,730,1,0
APP0201,CampusB,36812,645,0,0
APP0202,CampusA,40471,576,1,0
APP0203,CampusB,36394,571,0,0
APP0204,CampusB,55947,529,1,0
APP0205,CampusB,43694,696,1,1
APP0206,CampusA,51294,605,1,0
APP0207,CampusB,50757,713,1,1
APP0208,CampusB,35326,702,0,1
APP0209,CampusB,51840,610,0,0
APP0210,CampusA,49189,618,0,1
APP0211,CampusB,48764,697,1,0
APP0212,CampusB,40216,659,0,0
APP0213,CampusA,39878,666,1,1
APP0214,CampusB,54427,551,0,0
APP0215,CampusA,71184,704,1,1
APP0216,CampusB,35038,597,0,0
APP0217,CampusB,51413,514,0,0
APP0218,CampusB,40605,613,0,0
APP0219,CampusB,54418,675,1,0
APP0220,CampusA,50260,776,1,1
APP0221,CampusA,57722,628,1,1
APP0222,CampusA,15000,570,0,0
APP0223,CampusB,37787,777,0,0
APP0224,CampusA,33142,660,1,0
APP0225,CampusB,43704,634,0,0
APP0226,CampusA,36314,585,0,0
APP0227,CampusA,37308,590,1,1
APP0228,CampusA,53182,739,1,1
APP0229,CampusB,67823,634,1,0
APP0230,CampusB,15000,618,0,0
APP0231,CampusB,41275,619,0,0
APP0232,CampusA,48745,744,1,1
APP0233,CampusB,45057,615,0,0
APP0234,CampusA,40858,688,1,1
APP0235,CampusB,28758,666,0,0
APP0236,CampusB,33688,664,0,0
APP0237,CampusA,53700,597,1,0
APP0238,CampusB,57909,690,1,1
APP0239,CampusB,46160,747,1,0
APP0240,CampusA,34966,647,0,1
APP0241,CampusB,46149,595,0,0
APP0242,CampusA,42120,573,0,0
APP0243,CampusB,51547,661,1,0
APP0244,CampusB,46420,634,0,0
APP0245,CampusA,37539,644,0,0
APP0246,CampusB,47288,651,0,0
APP0247,CampusA,30847,561,0,0
APP0248,CampusB,54840,697,1,0
APP0249,CampusB,59188,664,0,0
APP0250,CampusA,30858,646,1,0
APP0251,CampusB,50053,664,0,0
APP0252,CampusA,33105,706,0,1
APP0253,CampusB,57860,653,0,0
APP0254,CampusA,55849,599,0,0
APP0255,CampusA,42238,720,1,1
APP0256,CampusB,56939,624,0,0
APP0257,CampusB,39827,606,0,0
APP0258,CampusB,37284,556,0,0
APP0259,CampusB,38175,650,0,0
APP0260,CampusA,43310,587,0,1
APP0261,CampusB,41119,619,0,0
APP0262,CampusA,46852,677,1,1
APP0263,CampusA,37619,652,1,0
APP0264,CampusB,54176,711,1,1
APP0265,CampusA,57252,668,1,1
APP0266,CampusA,39050,626,1,1
APP0267,CampusB,27874,630,0,0
APP0268,CampusA,53686,620,1,1
APP0269,CampusB,58663,689,1,0
APP0270,CampusB,43041,651,0,0
APP0271,CampusA,29562,625,1,0
APP0272,CampusA,48201,701,1,1
APP0273,CampusA,63296,656,1,1
APP0274,CampusB,22484,622,0,0
APP0275,CampusA,50735,559,0,0
APP0276,CampusA,41236,676,0,1
APP0277,CampusA,34732,664,1,0
APP0278,CampusB,50978,653,0,1
APP0279,CampusA,29414,624,0,1
APP0280,CampusB,48563,600,0,0
APP0281,CampusA,60759,636,1,1
APP0282,CampusB,47120,664,0,0
APP0283,CampusB,34484,642,0,1
APP0284,CampusA,23648,641,0,0
APP0285,CampusB,29617,622,0,0
APP0286,CampusA,22905,670,0,0
APP0287,CampusB,64196,664,1,1
APP0288,CampusB,42006,605,0,0
APP0289,CampusA,32458,696,1,1
APP0290,CampusA,29421,697,1,1
APP0291,CampusA,32193,699,1,1
APP0292,CampusA,40970,642,1,1
APP0293,CampusA,29609,638,1,0
APP0294,CampusA,65116,580,1,1
APP0295,CampusB,36031,695,0,0
APP0296,CampusA,35609,522,0,1
APP0297,CampusB,48693,627,0,0
APP0298,CampusA,62407,630,1,1
APP0299,CampusA,60888,701,1,1
APP0300,CampusB,39146,650,0,0
