news_id,date,company_name,headline,category,sentiment,source,url
48,2026-02-18,DataSphere 23,Market update 48,Funding,Positive,IDC,https://news.example.com/48
49,2026-02-19,CortexAI 17,Market update 49,Launch,Neutral,Reuters,https://news.example.com/49
50,2026-02-20,NextGenAI 88,Market update 50,Financial,Positive,IDC,https://news.example.com/50
51,2026-02-21,InsightAI 77,Market update 51,Acquisition,Neutral,Reuters,https://news.example.com/51
52,2026-02-22,QuantumSoft 12,Market update 52,Financial,Negative,Forrester,https://news.example.com/52
53,2026-02-23,DataSphere 71,Market update 53,Acquisition,Neutral,Forrester,https://news.example.com/53
54,2026-02-24,QuantumSoft 2,Market update 54,Financial,Positive,Forrester,https://news.example.com/54
55,2026-02-25,NextGenAI 20,Market update 55,Funding,Negative,Reuters,https://news.example.com/55
56,2026-02-26,SmartLogic 14,Market update 56,Launch,Neutral,Gartner,https://news.example.com/56
57,2026-02-27,DataSphere 53,Market update 57,Acquisition,Neutral,Forrester,https://news.example.com/57
58,2026-02-28,AIWorks 74,Market update 58,Financial,Positive,IDC,https://news.example.com/58
59,2026-03-01,SmartLogic 36,Market update 59,Financial,Positive,Forrester,https://news.example.com/59
60,2026-03-02,InsightAI 5,Market update 60,Financial,Neutral,IDC,https://news.example.com/60
61,2026-03-03,CloudEdge 7,Market update 61,Financial,Neutral,Gartner,https://news.example.com/61
62,2026-03-04,VisionTech 3,Market update 62,Acquisition,Neutral,Gartner,https://news.example.com/62
63,2026-03-05,SmartLogic 36,Market update 63,Financial,Negative,Reuters,https://news.example.com/63
64,2026-03-06,QuantumSoft 30,Market update 64,Funding,Neutral,Forrester,https://news.example.com/64
65,2026-03-07,TechNova 100,Market update 65,Acquisition,Neutral,Forrester,https://news.example.com/65
66,2026-03-08,CloudEdge 78,Market update 66,Launch,Positive,Forrester,https://news.example.com/66
67,2026-03-09,InsightAI 28,Market update 67,Financial,Negative,Forrester,https://news.example.com/67
68,2026-03-10,SmartLogic 98,Market update 68,Acquisition,Positive,IDC,https://news.example.com/68
69,2026-03-11,VisionTech 9,Market update 69,Acquisition,Negative,Forrester,https://news.example.com/69
70,2026-03-12,QuantumSoft 18,Market update 70,Launch,Positive,IDC,https://news.example.com/70
71,2026-03-13,TechNova 26,Market update 71,Launch,Positive,Reuters,https://news.example.com/71
72,2026-03-14,InsightAI 59,Market update 72,Launch,Neutral,IDC,https://news.example.com/72
73,2026-03-15,SmartLogic 36,Market update 73,Acquisition,Neutral,Forrester,https://news.example.com/73
74,2026-03-16,TechNova 82,Market update 74,Launch,Negative,Reuters,https://news.example.com/74
75,2026-03-17,TechNova 31,Market update 75,Acquisition,Neutral,Forrester,https://news.example.com/75
76,2026-03-18,DataSphere 23,Market update 76,Financial,Negative,Gartner,https://news.example.com/76
77,2026-03-19,QuantumSoft 45,Market update 77,Funding,Neutral,Reuters,https://news.example.com/77
78,2026-03-20,TechNova 37,Market update 78,Launch,Neutral,Reuters,https://news.example.com/78
79,2026-03-21,QuantumSoft 21,Market update 79,Funding,Positive,IDC,https://news.example.com/79
80,2026-03-22,InsightAI 87,Market update 80,Funding,Neutral,Forrester,https://news.example.com/80
81,2026-03-23,TechNova 66,Market update 81,Launch,Negative,Reuters,https://news.example.com/81
82,2026-03-24,QuantumSoft 61,Market update 82,Funding,Negative,IDC,https://news.example.com/82
83,2026-03-25,InsightAI 77,Market update 83,Launch,Positive,Gartner,https://news.example.com/83
84,2026-03-26,CloudEdge 78,Market update 84,Acquisition,Negative,Gartner,https://news.example.com/84
85,2026-03-27,DataSphere 55,Market update 85,Financial,Neutral,Forrester,https://news.example.com/85
86,2026-03-28,DataSphere 33,Market update 86,Funding,Neutral,Gartner,https://news.example.com/86
87,2026-03-29,InsightAI 87,Market update 87,Financial,Negative,Reuters,https://news.example.com/87
88,2026-03-30,DataSphere 1,Market update 88,Acquisition,Negative,Gartner,https://news.example.com/88
89,2026-03-31,CloudEdge 39,Market update 89,Launch,Neutral,Reuters,https://news.example.com/89
90,2026-04-01,InsightAI 44,Market update 90,Acquisition,Negative,Gartner,https://news.example.com/90
91,2026-04-02,SmartLogic 36,Market update 91,Acquisition,Negative,Gartner,https://news.example.com/91
92,2026-04-03,NextGenAI 25,Market update 92,Funding,Negative,IDC,https://news.example.com/92
93,2026-04-04,QuantumSoft 8,Market update 93,Financial,Negative,Gartner,https://news.example.com/93
94,2026-04-05,NextGenAI 88,Market update 94,Funding,Negative,Reuters,https://news.example.com/94
95,2026-04-06,SmartLogic 84,Market update 95,Financial,Neutral,Gartner,https://news.example.com/95
96,2026-04-07,CloudEdge 54,Market update 96,Financial,Neutral,Reuters,https://news.example.com/96
97,2026-04-08,DataSphere 75,Market update 97,Funding,Neutral,IDC,https://news.example.com/97
98,2026-04-09,NextGenAI 88,Market update 98,Financial,Negative,Gartner,https://news.example.com/98
99,2026-04-10,VisionTech 65,Market update 99,Acquisition,Positive,IDC,https://news.example.com/99
100,2026-04-11,VisionTech 38,Market update 100,Launch,Neutral,IDC,https://news.example.com/100
101,2026-04-12,CortexAI 95,Market update 101,Acquisition,Negative,IDC,https://news.example.com/101
102,2026-04-13,NextGenAI 88,Market update 102,Acquisition,Negative,Reuters,https://news.example.com/102
103,2026-04-14,QuantumSoft 29,Market update 103,Acquisition,Positive,Gartner,https://news.example.com/103
104,2026-04-15,CloudEdge 54,Market update 104,Acquisition,Neutral,Gartner,https://news.example.com/104
105,2026-04-16,DataSphere 75,Market update 105,Acquisition,Neutral,Reuters,https://news.example.com/105
106,2026-04-17,QuantumSoft 61,Market update 106,Launch,Negative,Reuters,https://news.example.com/106
107,2026-04-18,QuantumSoft 61,Market update 107,Funding,Negative,Reuters,https://news.example.com/107
108,2026-04-19,NextGenAI 88,Market update 108,Financial,Negative,Gartner,https://news.example.com/108
109,2026-04-20,DataSphere 53,Market update 109,Launch,Positive,IDC,https://news.example.com/109
110,2026-04-21,TechNova 26,Market update 110,Acquisition,Neutral,Forrester,https://news.example.com/110
111,2026-04-22,InsightAI 19,Market update 111,Acquisition,Negative,IDC,https://news.example.com/111
112,2026-04-23,TechNova 100,Market update 112,Launch,Neutral,Gartner,https://news.example.com/112
113,2026-04-24,VisionTech 81,Market update 113,Funding,Neutral,Reuters,https://news.example.com/113
114,2026-04-25,DataSphere 1,Market update 114,Financial,Neutral,IDC,https://news.example.com/114
115,2026-04-26,SmartLogic 98,Market update 115,Funding,Negative,IDC,https://news.example.com/115
116,2026-04-27,QuantumSoft 63,Market update 116,Launch,Positive,Forrester,https://news.example.com/116
117,2026-04-28,TechNova 82,Market update 117,Financial,Neutral,Forrester,https://news.example.com/117
118,2026-04-29,TechNova 62,Market update 118,Financial,Positive,Reuters,https://news.example.com/118
119,2026-04-30,QuantumSoft 69,Market update 119,Funding,Negative,Gartner,https://news.example.com/119
120,2026-05-01,QuantumSoft 2,Market update 120,Acquisition,Negative,IDC,https://news.example.com/120
121,2026-05-02,VisionTech 3,Market update 121,Launch,Negative,IDC,https://news.example.com/121
122,2026-05-03,QuantumSoft 29,Market update 122,Acquisition,Neutral,IDC,https://news.example.com/122
123,2026-05-04,SmartLogic 14,Market update 123,Financial,Negative,Gartner,https://news.example.com/123
124,2026-05-05,NextGenAI 22,Market update 124,Launch,Positive,Gartner,https://news.example.com/124
125,2026-05-06,VisionTech 38,Market update 125,Financial,Negative,Gartner,https://news.example.com/125
126,2026-05-07,InsightAI 56,Market update 126,Funding,Neutral,Forrester,https://news.example.com/126
127,2026-05-08,QuantumSoft 46,Market update 127,Funding,Positive,Forrester,https://news.example.com/127
128,2026-05-09,VisionTech 3,Market update 128,Funding,Positive,IDC,https://news.example.com/128
129,2026-05-10,InsightAI 28,Market update 129,Launch,Negative,IDC,https://news.example.com/129
130,2026-05-11,CloudEdge 16,Market update 130,Acquisition,Negative,Reuters,https://news.example.com/130
131,2026-05-12,SmartLogic 49,Market update 131,Acquisition,Negative,Reuters,https://news.example.com/131
132,2026-05-13,InsightAI 77,Market update 132,Launch,Negative,Reuters,https://news.example.com/132
133,2026-05-14,SmartLogic 84,Market update 133,Launch,Positive,Reuters,https://news.example.com/133
134,2026-05-15,CloudEdge 54,Market update 134,Financial,Neutral,Reuters,https://news.example.com/134
135,2026-05-16,DataSphere 71,Market update 135,Acquisition,Neutral,IDC,https://news.example.com/135
136,2026-05-17,DataSphere 27,Market update 136,Launch,Neutral,Forrester,https://news.example.com/136
137,2026-05-18,SmartLogic 85,Market update 137,Launch,Negative,Gartner,https://news.example.com/137
138,2026-05-19,InsightAI 80,Market update 138,Funding,Neutral,Reuters,https://news.example.com/138
139,2026-05-20,TechNova 66,Market update 139,Launch,Neutral,Reuters,https://news.example.com/139
140,2026-05-21,SmartLogic 14,Market update 140,Financial,Positive,IDC,https://news.example.com/140
141,2026-05-22,TechNova 100,Market update 141,Acquisition,Negative,IDC,https://news.example.com/141
142,2026-05-23,QuantumSoft 46,Market update 142,Financial,Neutral,IDC,https://news.example.com/142
143,2026-05-24,DataSphere 6,Market update 143,Financial,Positive,Forrester,https://news.example.com/143
144,2026-05-25,NextGenAI 43,Market update 144,Funding,Positive,Reuters,https://news.example.com/144
145,2026-05-26,TechNova 86,Market update 145,Launch,Positive,Forrester,https://news.example.com/145
146,2026-05-27,NextGenAI 20,Market update 146,Launch,Negative,Reuters,https://news.example.com/146
147,2026-05-28,DataSphere 93,Market update 147,Launch,Neutral,IDC,https://news.example.com/147
148,2026-05-29,InsightAI 59,Market update 148,Acquisition,Neutral,Forrester,https://news.example.com/148
149,2026-05-30,CloudEdge 7,Market update 149,Launch,Positive,Reuters,https://news.example.com/149
150,2026-05-31,VisionTech 38,Market update 150,Acquisition,Negative,Gartner,https://news.example.com/150
