sales_id,competitor_id,year,quarter,revenue_million,growth_percent,new_customers,renewals,churn_rate
67,17,2025,Q3,367,8.95,394,783,3.02
68,17,2025,Q4,636,7.73,532,51,1.63
69,18,2025,Q1,160,12.84,843,495,8.27
70,18,2025,Q2,172,10.16,547,153,5.59
71,18,2025,Q3,647,2.96,422,641,11.35
72,18,2025,Q4,326,9.84,539,858,8.14
73,19,2025,Q1,521,12.72,326,496,12.42
74,19,2025,Q2,397,3.28,132,436,9.17
75,19,2025,Q3,762,16.8,664,37,9.36
76,19,2025,Q4,291,19.18,821,804,9.1
77,20,2025,Q1,253,13.04,617,501,3.39
78,20,2025,Q2,664,13.03,813,871,6.32
79,20,2025,Q3,717,1.05,606,727,2.54
80,20,2025,Q4,39,6.03,448,165,6.78
81,21,2025,Q1,228,5.26,813,636,13.89
82,21,2025,Q2,773,13.19,742,151,8.26
83,21,2025,Q3,594,3.13,698,499,8.36
84,21,2025,Q4,341,18.92,490,555,5.79
85,22,2025,Q1,382,11.9,908,748,10.53
86,22,2025,Q2,729,1.61,515,206,14.4
87,22,2025,Q3,305,8.95,250,314,11.8
88,22,2025,Q4,741,0.18,741,510,5.44
89,23,2025,Q1,377,9.01,976,824,11.1
90,23,2025,Q2,314,-1.95,712,566,6.32
91,23,2025,Q3,424,15.46,997,801,12.26
92,23,2025,Q4,317,-3.95,998,741,2.11
93,24,2025,Q1,472,11.4,785,500,4.0
94,24,2025,Q2,571,1.78,595,722,4.8
95,24,2025,Q3,131,10.39,620,255,4.39
96,24,2025,Q4,705,17.63,251,663,4.26
97,25,2025,Q1,122,5.33,754,493,2.41
98,25,2025,Q2,160,-4.87,583,171,6.7
99,25,2025,Q3,507,6.94,224,784,14.49
100,25,2025,Q4,348,2.14,80,797,2.25
101,26,2025,Q1,607,0.81,776,750,12.9
102,26,2025,Q2,58,17.83,199,437,13.35
103,26,2025,Q3,200,18.35,57,866,6.56
104,26,2025,Q4,527,-0.34,786,306,13.27
105,27,2025,Q1,29,2.46,637,119,14.0
106,27,2025,Q2,363,2.11,676,566,8.34
107,27,2025,Q3,157,16.28,499,289,3.7
108,27,2025,Q4,135,3.27,768,479,10.08
109,28,2025,Q1,755,-0.35,774,355,12.07
110,28,2025,Q2,601,11.86,217,189,9.55
111,28,2025,Q3,674,17.43,866,447,8.21
112,28,2025,Q4,108,5.02,117,199,14.74
113,29,2025,Q1,508,3.09,274,16,4.65
114,29,2025,Q2,261,6.17,293,347,5.23
115,29,2025,Q3,760,9.32,287,679,6.03
116,29,2025,Q4,261,-3.45,141,486,5.3
117,30,2025,Q1,435,12.15,965,730,11.78
118,30,2025,Q2,726,-2.06,958,312,6.15
119,30,2025,Q3,246,0.48,156,499,3.14
120,30,2025,Q4,785,19.72,402,435,10.83
121,31,2025,Q1,502,13.93,841,690,12.56
122,31,2025,Q2,800,1.19,792,620,13.22
123,31,2025,Q3,103,8.14,560,730,6.06
124,31,2025,Q4,597,-2.19,868,570,13.64
125,32,2025,Q1,227,9.32,173,178,5.59
126,32,2025,Q2,552,6.05,716,220,11.04
127,32,2025,Q3,520,-2.73,542,466,12.32
128,32,2025,Q4,484,-1.7,445,477,8.89
129,33,2025,Q1,592,6.56,846,325,11.13
130,33,2025,Q2,425,1.36,23,773,4.05
131,33,2025,Q3,94,-3.87,372,727,1.89
132,33,2025,Q4,81,18.36,90,493,1.44
133,34,2025,Q1,438,-0.5,158,794,9.98
134,34,2025,Q2,766,11.15,450,393,14.9
135,34,2025,Q3,411,6.21,959,396,6.26
136,34,2025,Q4,719,19.1,915,562,2.86
137,35,2025,Q1,376,-2.03,570,412,8.4
138,35,2025,Q2,765,19.47,874,13,11.59
139,35,2025,Q3,325,6.58,756,567,6.94
140,35,2025,Q4,408,15.58,273,481,5.85
141,36,2025,Q1,302,-0.29,916,752,11.72
142,36,2025,Q2,52,15.24,449,639,11.72
143,36,2025,Q3,36,1.02,88,113,9.32
144,36,2025,Q4,477,9.94,740,59,4.43
145,37,2025,Q1,65,5.06,259,562,4.04
146,37,2025,Q2,77,-1.5,316,249,12.42
147,37,2025,Q3,769,9.4,611,622,11.82
148,37,2025,Q4,348,0.92,917,156,14.8
149,38,2025,Q1,553,0.53,327,291,1.85
150,38,2025,Q2,625,16.99,953,189,9.76
151,38,2025,Q3,457,8.9,68,362,14.18
152,38,2025,Q4,707,4.53,557,336,10.75
153,39,2025,Q1,438,-1.27,405,198,11.56
154,39,2025,Q2,504,1.02,250,317,13.01
155,39,2025,Q3,167,15.14,956,69,8.87
156,39,2025,Q4,446,8.93,157,407,4.4
157,40,2025,Q1,228,3.26,100,470,12.86
158,40,2025,Q2,114,8.39,869,205,1.72
159,40,2025,Q3,406,11.84,637,50,13.23
160,40,2025,Q4,212,15.12,621,751,10.4
161,41,2025,Q1,242,6.98,910,350,5.24
162,41,2025,Q2,35,0.3,214,769,2.64
163,41,2025,Q3,792,6.97,268,722,9.46
164,41,2025,Q4,229,4.92,265,575,5.5
165,42,2025,Q1,309,4.52,566,674,6.03
166,42,2025,Q2,287,3.99,923,519,7.52
167,42,2025,Q3,759,6.74,879,337,13.8
168,42,2025,Q4,399,2.82,66,586,13.1
169,43,2025,Q1,779,-1.35,287,576,14.09
170,43,2025,Q2,613,13.0,322,166,3.75
171,43,2025,Q3,255,4.5,873,261,7.99
172,43,2025,Q4,690,18.59,365,273,11.69
173,44,2025,Q1,520,19.16,677,767,7.87
174,44,2025,Q2,192,13.32,380,183,2.96
175,44,2025,Q3,579,7.21,958,565,14.86
176,44,2025,Q4,80,8.1,879,877,2.04
177,45,2025,Q1,704,-3.79,26,432,2.92
178,45,2025,Q2,665,0.79,744,164,1.13
179,45,2025,Q3,537,6.4,81,642,9.93
180,45,2025,Q4,651,17.82,695,509,1.22
181,46,2025,Q1,564,8.79,32,27,8.41
182,46,2025,Q2,301,8.39,313,27,8.03
183,46,2025,Q3,734,11.85,845,193,2.5
184,46,2025,Q4,118,8.11,266,206,9.68
185,47,2025,Q1,278,15.38,293,824,6.56
186,47,2025,Q2,402,18.98,490,588,4.4
187,47,2025,Q3,733,0.65,720,857,12.87
188,47,2025,Q4,689,19.79,685,787,1.44
189,48,2025,Q1,435,4.48,585,497,1.79
190,48,2025,Q2,29,12.57,104,521,12.83
191,48,2025,Q3,680,14.61,599,888,14.63
192,48,2025,Q4,560,17.98,255,226,13.62
193,49,2025,Q1,728,17.19,506,287,1.65
194,49,2025,Q2,96,12.11,307,566,8.89
195,49,2025,Q3,53,-0.52,890,332,1.22
196,49,2025,Q4,232,9.68,790,850,10.98
197,50,2025,Q1,427,18.22,326,176,8.9
198,50,2025,Q2,600,15.87,418,703,13.55
199,50,2025,Q3,359,4.6,777,153,12.07
200,50,2025,Q4,725,13.1,532,773,14.64
201,51,2025,Q1,74,-2.56,257,868,2.06
202,51,2025,Q2,639,14.23,997,619,6.55
203,51,2025,Q3,354,-4.26,299,812,14.9
204,51,2025,Q4,522,0.7,586,394,7.05
205,52,2025,Q1,716,9.65,409,97,11.81
206,52,2025,Q2,322,14.95,750,85,2.15
207,52,2025,Q3,177,4.5,822,659,3.16
208,52,2025,Q4,418,2.92,129,103,1.07
209,53,2025,Q1,335,6.12,799,286,2.43
210,53,2025,Q2,109,-0.32,479,580,8.77
211,53,2025,Q3,437,-2.42,111,372,8.76
212,53,2025,Q4,631,9.95,352,894,6.39
213,54,2025,Q1,318,5.35,817,96,11.15
214,54,2025,Q2,592,17.63,268,595,8.3
215,54,2025,Q3,721,4.52,162,285,5.22
216,54,2025,Q4,524,-1.35,191,455,4.86
217,55,2025,Q1,326,7.11,98,379,4.52
218,55,2025,Q2,272,13.02,527,618,9.63
219,55,2025,Q3,488,-2.33,331,16,14.28
220,55,2025,Q4,360,16.04,409,833,13.07
221,56,2025,Q1,470,3.37,855,853,13.03
222,56,2025,Q2,628,-1.6,348,627,14.26
223,56,2025,Q3,225,6.98,201,417,14.56
224,56,2025,Q4,318,13.37,668,512,14.55
225,57,2025,Q1,268,3.15,307,846,12.0
226,57,2025,Q2,393,-2.15,597,214,9.29
227,57,2025,Q3,578,-0.5,806,573,1.38
228,57,2025,Q4,764,6.54,745,224,7.14
229,58,2025,Q1,318,15.78,90,848,12.87
230,58,2025,Q2,438,11.82,162,658,5.24
231,58,2025,Q3,278,11.47,752,443,12.05
232,58,2025,Q4,95,6.23,632,500,9.15
233,59,2025,Q1,567,7.67,962,900,10.68
234,59,2025,Q2,576,-4.08,388,728,13.54
235,59,2025,Q3,569,9.85,956,97,2.53
236,59,2025,Q4,274,11.44,383,180,10.06
237,60,2025,Q1,65,9.08,680,703,10.05
238,60,2025,Q2,790,3.29,835,450,2.48
239,60,2025,Q3,120,1.47,542,774,8.26
240,60,2025,Q4,614,12.19,246,466,6.24
241,61,2025,Q1,494,14.31,622,717,8.01
242,61,2025,Q2,373,19.94,514,117,5.14
243,61,2025,Q3,107,-2.1,983,757,2.98
244,61,2025,Q4,339,3.58,823,221,8.3
245,62,2025,Q1,376,6.9,468,749,10.75
246,62,2025,Q2,346,-3.32,65,839,10.95
247,62,2025,Q3,43,16.23,683,121,10.48
248,62,2025,Q4,188,18.25,778,259,8.22
249,63,2025,Q1,585,-1.0,593,446,14.42
250,63,2025,Q2,257,14.94,664,198,3.61
251,63,2025,Q3,693,5.8,49,765,9.6
252,63,2025,Q4,222,6.24,459,408,1.06
253,64,2025,Q1,239,0.14,790,730,12.32
254,64,2025,Q2,84,9.43,838,559,3.62
255,64,2025,Q3,353,-0.07,136,278,10.39
256,64,2025,Q4,521,8.19,674,330,9.36
257,65,2025,Q1,645,4.81,136,366,5.93
258,65,2025,Q2,488,10.43,853,699,10.88
259,65,2025,Q3,324,17.97,624,96,10.41
260,65,2025,Q4,340,-2.05,332,129,3.56
261,66,2025,Q1,730,-1.47,417,438,9.35
262,66,2025,Q2,608,4.59,210,508,9.9
263,66,2025,Q3,730,17.98,973,187,8.77
264,66,2025,Q4,521,2.22,211,332,12.79
265,67,2025,Q1,654,-3.66,387,19,7.78
266,67,2025,Q2,219,15.38,595,527,10.14
267,67,2025,Q3,438,12.12,445,737,12.76
268,67,2025,Q4,520,-0.82,598,41,12.14
269,68,2025,Q1,245,2.3,301,240,8.53
270,68,2025,Q2,192,14.52,599,770,11.82
271,68,2025,Q3,527,8.74,135,596,2.6
272,68,2025,Q4,576,15.58,395,565,12.52
273,69,2025,Q1,62,14.0,471,569,4.06
274,69,2025,Q2,455,-2.44,869,679,11.52
275,69,2025,Q3,324,16.87,53,470,4.68
276,69,2025,Q4,109,5.98,140,804,12.37
277,70,2025,Q1,234,15.27,622,715,5.91
278,70,2025,Q2,747,10.26,458,179,9.63
279,70,2025,Q3,231,15.34,844,70,8.98
280,70,2025,Q4,565,2.03,571,182,5.53
281,71,2025,Q1,740,2.32,606,283,14.33
282,71,2025,Q2,546,19.64,715,844,2.33
283,71,2025,Q3,788,14.64,960,70,14.89
284,71,2025,Q4,691,-1.83,906,145,4.5
285,72,2025,Q1,748,3.05,273,789,12.81
286,72,2025,Q2,422,7.24,611,657,4.76
287,72,2025,Q3,444,4.38,97,658,12.12
288,72,2025,Q4,115,5.07,787,294,10.73
289,73,2025,Q1,397,6.37,519,345,9.15
290,73,2025,Q2,770,-2.67,489,660,10.3
291,73,2025,Q3,386,16.25,834,557,6.57
292,73,2025,Q4,459,15.62,526,284,5.52
293,74,2025,Q1,310,3.44,611,143,8.93
294,74,2025,Q2,516,14.71,935,708,11.67
295,74,2025,Q3,67,-2.51,822,866,7.43
296,74,2025,Q4,147,18.24,181,461,7.39
297,75,2025,Q1,458,0.06,725,145,13.35
298,75,2025,Q2,329,-1.03,975,290,2.31
299,75,2025,Q3,389,1.26,400,690,13.65
300,75,2025,Q4,189,-3.71,660,322,11.16
301,76,2025,Q1,793,0.85,691,103,10.85
302,76,2025,Q2,21,0.34,99,145,9.31
303,76,2025,Q3,551,12.0,29,18,10.74
304,76,2025,Q4,143,19.7,452,720,2.85
305,77,2025,Q1,92,0.72,111,758,12.28
306,77,2025,Q2,125,2.83,922,316,2.92
307,77,2025,Q3,791,16.86,676,703,3.0
308,77,2025,Q4,563,9.08,644,675,3.3
309,78,2025,Q1,379,13.06,663,776,3.12
310,78,2025,Q2,441,10.4,473,890,4.04
311,78,2025,Q3,122,-1.5,146,613,11.22
312,78,2025,Q4,379,19.08,342,820,2.96
313,79,2025,Q1,303,11.12,274,576,9.41
314,79,2025,Q2,758,10.19,817,717,1.38
315,79,2025,Q3,694,16.9,230,540,9.5
316,79,2025,Q4,213,13.7,322,671,1.76
317,80,2025,Q1,265,7.37,135,256,7.99
318,80,2025,Q2,628,-3.22,930,22,14.82
319,80,2025,Q3,344,-1.7,901,869,8.96
320,80,2025,Q4,394,8.66,196,791,7.59
321,81,2025,Q1,94,-4.58,89,24,4.67
322,81,2025,Q2,60,18.06,991,818,6.57
323,81,2025,Q3,313,10.71,533,795,6.82
324,81,2025,Q4,738,5.06,675,559,8.53
325,82,2025,Q1,176,1.94,337,90,8.16
326,82,2025,Q2,228,19.36,179,559,5.57
327,82,2025,Q3,620,10.86,874,675,10.53
328,82,2025,Q4,87,2.75,467,757,14.35
329,83,2025,Q1,264,-3.55,108,454,2.62
330,83,2025,Q2,646,10.22,336,692,11.38
331,83,2025,Q3,778,-0.61,32,734,2.92
332,83,2025,Q4,31,-0.9,995,365,8.32
333,84,2025,Q1,758,1.48,400,139,11.5
334,84,2025,Q2,295,13.32,140,799,13.6
335,84,2025,Q3,363,15.18,298,546,1.89
336,84,2025,Q4,749,19.38,662,88,7.95
337,85,2025,Q1,543,4.0,531,889,8.94
338,85,2025,Q2,396,-1.07,811,115,13.52
339,85,2025,Q3,710,13.07,253,768,8.12
340,85,2025,Q4,65,16.47,32,260,1.64
341,86,2025,Q1,392,4.57,173,193,14.04
342,86,2025,Q2,56,8.82,955,741,11.37
343,86,2025,Q3,449,0.61,274,436,13.82
344,86,2025,Q4,347,1.78,99,595,6.22
345,87,2025,Q1,534,11.83,73,193,4.12
346,87,2025,Q2,548,19.54,996,420,1.96
347,87,2025,Q3,496,16.65,812,875,5.35
348,87,2025,Q4,108,8.83,28,387,3.81
349,88,2025,Q1,597,14.61,777,647,4.4
350,88,2025,Q2,397,9.79,525,801,11.86
351,88,2025,Q3,770,17.51,798,825,4.43
352,88,2025,Q4,26,18.31,44,248,8.58
353,89,2025,Q1,671,15.99,918,19,14.31
354,89,2025,Q2,21,13.97,405,879,11.33
355,89,2025,Q3,334,-2.4,562,253,6.88
356,89,2025,Q4,81,19.31,165,738,4.92
357,90,2025,Q1,64,18.03,938,875,8.28
358,90,2025,Q2,737,17.39,489,775,2.19
359,90,2025,Q3,117,7.64,672,849,6.52
360,90,2025,Q4,626,9.2,465,688,14.5
361,91,2025,Q1,262,2.29,891,332,13.96
362,91,2025,Q2,422,12.52,773,344,5.45
363,91,2025,Q3,298,0.84,986,217,2.91
364,91,2025,Q4,618,-2.28,128,178,7.29
365,92,2025,Q1,341,5.16,568,376,14.5
366,92,2025,Q2,232,6.3,494,281,12.93
367,92,2025,Q3,112,-1.06,722,321,12.57
368,92,2025,Q4,733,10.08,240,865,12.99
369,93,2025,Q1,171,-2.72,274,374,6.55
370,93,2025,Q2,70,11.93,286,849,14.87
371,93,2025,Q3,51,18.8,895,473,8.78
372,93,2025,Q4,583,1.25,493,114,12.25
373,94,2025,Q1,163,-1.96,83,860,11.93
374,94,2025,Q2,247,-1.73,863,420,6.21
375,94,2025,Q3,665,18.44,106,606,9.21
376,94,2025,Q4,96,-4.45,86,212,13.63
377,95,2025,Q1,474,15.23,114,877,12.61
378,95,2025,Q2,359,-1.94,984,482,1.71
379,95,2025,Q3,607,5.83,761,414,7.95
380,95,2025,Q4,411,12.08,196,372,4.01
381,96,2025,Q1,211,1.87,476,162,1.49
382,96,2025,Q2,654,10.42,682,312,7.98
383,96,2025,Q3,583,6.98,109,296,6.36
384,96,2025,Q4,449,-0.01,925,826,8.36
385,97,2025,Q1,665,19.85,576,823,1.27
386,97,2025,Q2,411,14.55,387,501,8.62
387,97,2025,Q3,516,3.6,599,524,5.5
388,97,2025,Q4,296,-0.5,346,621,4.07
389,98,2025,Q1,307,-3.54,503,552,6.0
390,98,2025,Q2,618,19.99,183,112,4.47
391,98,2025,Q3,266,1.66,855,820,13.84
392,98,2025,Q4,77,14.1,990,234,9.06
393,99,2025,Q1,417,3.87,879,875,3.43
394,99,2025,Q2,262,9.81,845,765,10.77
395,99,2025,Q3,625,-4.29,737,370,14.27
396,99,2025,Q4,597,-1.45,991,202,12.71
397,100,2025,Q1,524,8.55,199,512,1.53
398,100,2025,Q2,77,0.82,244,30,8.37
399,100,2025,Q3,20,3.29,648,216,12.29
400,100,2025,Q4,368,12.92,960,831,12.82
