product_id,competitor_id,product_name,category,launch_date,pricing_model,subscription_price,ai_features,target_market
P138,28,Product 138,Automation,2023-04-27,Annual,230,RAG,Enterprise
P139,87,Product 139,Automation,2024-05-13,Usage,351,Vision,SMB
P140,29,Product 140,BI,2024-09-05,Monthly,13,Agents,Enterprise
P141,28,Product 141,Analytics,2025-02-21,Annual,158,Vision,SMB
P142,1,Product 142,BI,2025-02-03,Annual,99,Agents,Enterprise
P143,69,Product 143,Analytics,2024-05-27,Usage,436,Vision,SMB
P144,51,Product 144,LLM,2024-03-22,Monthly,245,RAG,Enterprise
P145,74,Product 145,BI,2024-08-10,Annual,373,Reasoning,Enterprise
P146,15,Product 146,BI,2023-01-22,Annual,97,SQL,Enterprise
P147,89,Product 147,Assistant,2023-04-01,Annual,442,RAG,SMB
P148,56,Product 148,Automation,2024-02-15,Usage,50,Reasoning,Enterprise
P149,96,Product 149,Assistant,2023-08-15,Annual,408,Agents,SMB
P150,66,Product 150,LLM,2024-06-27,Usage,109,Vision,Enterprise
P151,94,Product 151,Analytics,2023-08-30,Monthly,84,Vision,SMB
P152,23,Product 152,Automation,2023-06-06,Usage,48,Agents,Consumer
P153,64,Product 153,BI,2025-02-11,Usage,399,SQL,Enterprise
P154,88,Product 154,Automation,2024-10-20,Usage,329,Vision,Consumer
P155,41,Product 155,Analytics,2024-03-26,Monthly,250,Reasoning,Consumer
P156,39,Product 156,Assistant,2024-08-28,Monthly,190,SQL,SMB
P157,40,Product 157,BI,2024-04-07,Monthly,39,Vision,Enterprise
P158,10,Product 158,LLM,2024-09-21,Usage,269,Reasoning,Enterprise
P159,75,Product 159,Automation,2025-03-21,Usage,468,RAG,Enterprise
P160,74,Product 160,Analytics,2023-11-26,Usage,253,SQL,SMB
P161,8,Product 161,BI,2023-04-16,Annual,375,RAG,Consumer
P162,83,Product 162,Analytics,2023-02-10,Monthly,372,Reasoning,Enterprise
P163,68,Product 163,Automation,2024-09-16,Monthly,196,Vision,Enterprise
P164,50,Product 164,BI,2025-03-04,Annual,357,SQL,SMB
P165,81,Product 165,Assistant,2023-03-09,Annual,58,SQL,Consumer
P166,50,Product 166,Assistant,2023-09-16,Usage,446,SQL,SMB
P167,43,Product 167,LLM,2024-08-19,Usage,82,Vision,Enterprise
P168,84,Product 168,BI,2023-05-13,Usage,372,RAG,Enterprise
P169,72,Product 169,BI,2024-10-20,Annual,426,Agents,Consumer
P170,90,Product 170,Automation,2023-04-06,Usage,353,Reasoning,Consumer
P171,47,Product 171,LLM,2024-01-07,Annual,102,Agents,Enterprise
P172,99,Product 172,BI,2023-07-16,Monthly,80,Agents,SMB
P173,38,Product 173,LLM,2024-06-03,Usage,437,SQL,SMB
P174,85,Product 174,Assistant,2025-06-16,Usage,77,SQL,Enterprise
P175,20,Product 175,Analytics,2023-07-05,Usage,404,SQL,SMB
P176,93,Product 176,BI,2023-02-14,Annual,196,Agents,Enterprise
P177,79,Product 177,Assistant,2025-02-09,Usage,411,Reasoning,SMB
P178,69,Product 178,Analytics,2023-11-13,Annual,472,Agents,Enterprise
P179,87,Product 179,Automation,2024-03-27,Annual,403,Vision,Enterprise
P180,65,Product 180,Automation,2024-03-04,Monthly,428,Agents,Consumer
P181,18,Product 181,Assistant,2023-02-23,Usage,256,Vision,Consumer
P182,14,Product 182,Automation,2025-05-21,Monthly,155,RAG,SMB
P183,35,Product 183,BI,2024-06-09,Monthly,435,Reasoning,SMB
P184,29,Product 184,BI,2023-12-24,Monthly,222,RAG,Enterprise
P185,65,Product 185,Assistant,2023-08-30,Annual,51,Vision,SMB
P186,4,Product 186,Assistant,2023-04-12,Usage,342,Vision,SMB
P187,18,Product 187,LLM,2023-10-21,Annual,366,Agents,Consumer
P188,61,Product 188,BI,2024-09-22,Monthly,473,RAG,SMB
P189,33,Product 189,Analytics,2025-05-05,Monthly,290,SQL,Consumer
P190,55,Product 190,LLM,2025-03-05,Annual,131,Vision,SMB
P191,7,Product 191,Analytics,2024-03-05,Usage,416,SQL,Enterprise
P192,9,Product 192,LLM,2025-05-06,Annual,315,SQL,SMB
P193,81,Product 193,Automation,2024-08-11,Monthly,377,Agents,Enterprise
P194,55,Product 194,LLM,2024-09-21,Annual,133,SQL,Enterprise
P195,24,Product 195,LLM,2024-06-20,Annual,44,SQL,Consumer
P196,65,Product 196,Automation,2024-07-21,Monthly,209,Reasoning,SMB
P197,82,Product 197,BI,2024-01-18,Annual,392,RAG,Enterprise
P198,9,Product 198,Assistant,2023-09-04,Usage,346,RAG,Consumer
P199,95,Product 199,Assistant,2023-05-17,Monthly,190,SQL,Enterprise
P200,83,Product 200,Analytics,2025-04-30,Usage,247,Reasoning,Consumer
